Date,Open,High,Low,Close,Volume
5/26/2021,126.96,127.39,126.42,126.85,"56,575,922"
5/25/2021,127.82,128.32,126.32,126.9,"72,009,477"
5/24/2021,126.01,127.94,125.94,127.1,"63,092,953"
5/21/2021,127.82,128,125.21,125.43,"79,295,438"
5/20/2021,125.23,127.72,125.1,127.31,"76,857,117"
5/19/2021,123.16,124.92,122.86,124.69,"92,611,992"
5/18/2021,126.56,126.99,124.78,124.85,"63,342,930"
5/17/2021,126.82,126.93,125.17,126.27,"74,116,555"
5/14/2021,126.25,127.89,125.85,127.45,"81,917,953"
5/13/2021,124.58,126.15,124.26,124.97,"105,861,297"
5/12/2021,123.4,124.64,122.25,122.77,"112,172,305"
5/11/2021,123.5,126.27,122.77,125.91,"126,142,797"
5/10/2021,129.41,129.54,126.81,126.85,"88,071,234"
5/7/2021,130.85,131.26,129.48,130.21,"78,973,273"
5/6/2021,127.89,129.75,127.13,129.74,"78,128,328"
5/5/2021,129.2,130.45,127.97,128.1,"84,000,898"
5/4/2021,131.19,131.49,126.7,127.85,"137,564,703"
5/3/2021,132.04,134.07,131.83,132.54,"75,135,102"
4/30/2021,131.78,133.56,131.07,131.46,"109,839,508"
4/29/2021,136.47,137.07,132.45,133.48,"151,100,984"
4/28/2021,134.31,135.02,133.08,133.58,"107,760,094"
4/27/2021,135.01,135.41,134.11,134.39,"66,015,797"
4/26/2021,134.83,135.06,133.56,134.72,"66,905,070"
4/23/2021,132.16,135.12,132.16,134.32,"78,756,781"
4/22/2021,133.04,134.15,131.41,131.94,"84,566,461"
4/21/2021,132.36,133.75,131.3,133.5,"68,847,133"
4/20/2021,135.02,135.53,131.81,133.11,"94,812,352"
4/19/2021,133.51,135.47,133.34,134.84,"94,264,227"
4/16/2021,134.3,134.67,133.28,134.16,"84,922,391"
4/15/2021,133.82,135,133.64,134.5,"89,347,102"
4/14/2021,134.94,135,131.66,132.03,"87,222,781"
4/13/2021,132.44,134.66,131.93,134.43,"91,266,555"
4/12/2021,132.52,132.85,130.63,131.24,"91,419,984"
4/9/2021,129.8,133.04,129.47,133,"106,686,703"
4/8/2021,128.95,130.39,128.52,130.36,"88,844,594"
4/7/2021,125.83,127.92,125.14,127.9,"83,466,719"
4/6/2021,126.5,127.13,125.65,126.21,"80,171,250"
4/5/2021,123.87,126.16,123.07,125.9,"88,651,188"
4/1/2021,123.66,124.18,122.49,123,"75,089,125"
3/31/2021,121.65,123.52,121.15,122.15,"118,323,797"
3/30/2021,120.11,120.4,118.86,119.9,"85,671,922"
3/29/2021,121.65,122.58,120.73,121.39,"80,819,203"
3/26/2021,120.35,121.48,118.92,121.21,"94,071,234"
3/25/2021,119.54,121.66,119,120.59,"98,844,680"
3/24/2021,122.82,122.9,120.07,120.09,"88,530,484"
3/23/2021,123.33,124.24,122.14,122.54,"95,467,133"
3/22/2021,120.33,123.87,120.26,123.39,"111,912,305"
3/19/2021,119.9,121.43,119.68,119.99,"185,549,500"
3/18/2021,122.88,123.18,120.32,120.53,"121,469,797"
3/17/2021,124.05,125.86,122.34,124.76,"111,932,602"
3/16/2021,125.7,127.22,124.72,125.57,"115,227,906"
3/15/2021,121.41,124,120.42,123.99,"92,590,562"
3/12/2021,120.4,121.17,119.16,121.03,"88,105,047"
3/11/2021,122.54,123.21,121.26,121.96,"103,026,492"
3/10/2021,121.69,122.17,119.45,119.98,"111,943,297"
3/9/2021,119.03,122.06,118.79,121.09,"129,525,797"
3/8/2021,120.93,121,116.21,116.36,"154,376,609"
3/5/2021,120.98,121.94,117.57,121.42,"153,766,594"
3/4/2021,121.75,123.6,118.62,120.13,"178,155,016"
3/3/2021,124.81,125.71,121.84,122.06,"112,966,305"
3/2/2021,128.41,128.72,125.01,125.12,"102,260,898"
3/1/2021,123.75,127.93,122.79,127.79,"116,307,906"
2/26/2021,122.59,124.85,121.2,121.26,"164,560,406"
2/25/2021,124.68,126.46,120.54,120.99,"148,199,500"
2/24/2021,124.94,125.56,122.23,125.35,"111,039,906"
2/23/2021,123.76,126.71,118.39,125.86,"158,272,984"
2/22/2021,128.01,129.72,125.6,126,"103,916,398"
2/19/2021,130.24,130.71,128.8,129.87,"87,668,828"
2/18/2021,129.2,130,127.41,129.71,"96,856,750"
2/17/2021,131.25,132.22,129.47,130.84,"98,085,250"
2/16/2021,135.49,136.01,132.79,133.19,"80,576,320"
2/12/2021,134.35,135.53,133.69,135.37,"60,145,129"
2/11/2021,135.9,136.39,133.77,135.13,"64,280,031"
2/10/2021,136.48,136.99,134.4,135.39,"73,046,562"
2/9/2021,136.62,137.88,135.85,136.01,"76,774,211"
2/8/2021,136.03,136.96,134.92,136.91,"71,297,211"
2/5/2021,137.35,137.42,135.86,136.76,"75,693,828"
2/4/2021,136.3,137.4,134.59,137.39,"84,183,055"
2/3/2021,135.76,135.77,133.61,133.94,"89,880,945"
2/2/2021,135.73,136.31,134.61,134.99,"83,305,367"
2/1/2021,133.75,135.38,130.93,134.14,"106,239,797"
1/29/2021,135.83,136.74,130.21,131.96,"177,523,812"
1/28/2021,139.52,141.99,136.7,137.09,"142,621,109"
1/27/2021,143.43,144.3,140.41,142.06,"140,843,812"
1/26/2021,143.6,144.3,141.37,143.16,"98,390,562"
1/25/2021,143.07,145.09,136.54,142.92,"157,611,703"
1/22/2021,136.28,139.85,135.02,139.07,"114,459,398"
1/21/2021,133.8,139.67,133.59,136.87,"120,529,508"
1/20/2021,128.66,132.49,128.55,132.03,"104,319,508"
1/19/2021,127.78,128.71,126.94,127.83,"90,757,328"
1/15/2021,128.78,130.22,127,127.14,"111,598,492"
1/14/2021,130.8,131,128.76,128.91,"90,221,758"
1/13/2021,128.76,131.45,128.49,130.89,"88,636,828"
1/12/2021,128.5,129.69,126.86,128.8,"91,951,148"
1/11/2021,129.19,130.17,128.5,128.98,"100,620,898"
1/8/2021,132.43,132.63,130.23,132.05,"105,158,203"
1/7/2021,128.36,131.63,127.86,130.92,"109,578,203"
1/6/2021,127.72,131.05,126.38,126.6,"155,088,000"
1/5/2021,128.89,131.74,128.43,131.01,"97,664,898"
1/4/2021,133.52,133.61,126.76,129.41,"143,301,906"
